incendio_anio;incendio_provincia;incendio_total_numero;incendio_negligencia_numero;incendio_intencional_numero;incendio_natural_numero;incendio_desconocida_numero
2013;Buenos Aires;458;18;11;0;429
2013;Catamarca;90;7;7;0;76
2013;Chaco;480;4;3;0;473
2013;Chubut;106;44;34;0;28
2013;Ciudad Autónoma de Buenos Aires;6;1;0;0;5
2013;Córdoba;173;0;173;0;0
2013;Corrientes;101;21;0;0;80
2013;Entre Ríos;112;3;21;0;88
2013;Formosa;326;326;0;0;0
2013;Jujuy;246;15;2;0;229
2013;La Pampa;87;53;2;32;0
2013;La Rioja;248;34;14;0;200
2013;Mendoza;185;18;139;8;20
2013;Misiones;98;28;0;0;70
2013;Neuquén;141;44;57;28;12
2013;Río Negro;1036;194;149;0;693
2013;Salta;870;0;13;591;266
2013;San Juan;187;26;161;0;0
2013;San Luis;36;14;18;2;2
2013;Santa Cruz;8;5;0;0;3
2013;Santa Fe;1625;348;1158;11;108
2013;Santiago del Estero;45;0;45;0;0
2013;Tierra del Fuego;16;10;0;0;6
2013;Tucumán;4;1;3;0;0
2014;Buenos Aires;2788;67;31;54;2636
2014;Catamarca;69;2;3;0;64
2014;Chaco;445;0;0;0;445
2014;Chubut;76;25;31;1;19
2014;Ciudad Autónoma de Buenos Aires;2;1;0;0;1
2014;Córdoba;291;0;291;0;0
2014;Corrientes;64;0;0;0;64
2014;Entre Ríos;24;2;12;0;10
2014;Formosa;63;0;50;0;13
2014;Jujuy;158;25;12;1;120
2014;La Pampa;50;3;4;33;10
2014;La Rioja;167;40;8;0;119
2014;Mendoza;159;6;108;6;39
2014;Misiones;102;20;0;0;82
2014;Neuquén;90;54;30;0;6
2014;Río Negro;904;92;30;2;780
2014;Salta;236;0;0;38;198
2014;San Juan;263;52;211;0;0
2014;San Luis;41;12;23;6;0
2014;Santa Cruz;3;3;0;0;0
2014;Santa Fe;856;156;617;19;64
2014;Santiago del Estero;85;7;7;0;71
2014;Tierra del Fuego;12;6;1;0;5
2014;Tucumán;3;0;3;0;0
